"date","rank","litter_size","sample.size"
1987,"high",1.375,8
1987,"low",1.75,4
1988,"high",1.85714285714286,7
1988,"low",1.5,6
1989,"high",1.81818181818182,11
1989,"low",1.57142857142857,7
1990,"high",1.71428571428571,21
1990,"low",1.88888888888889,9
1991,"high",1.65,20
1991,"low",1.44444444444444,18
1992,"high",1.875,16
1992,"low",1.625,16
1993,"high",1.65,20
1993,"low",1.4,20
1994,"high",1.59090909090909,22
1994,"low",1.56521739130435,23
1995,"high",1.44444444444444,18
1995,"low",1.52173913043478,23
1996,"high",1.73913043478261,23
1996,"low",1.68181818181818,22
1997,"high",1.6,20
1997,"low",1.6875,16
1998,"high",1.56521739130435,23
1998,"low",1.42857142857143,28
1999,"high",1.52380952380952,21
1999,"low",1.76190476190476,21
2000,"high",1.39285714285714,28
2000,"low",1.4375,16
2001,"high",1.5,16
2001,"low",1.28571428571429,14
2002,"high",1.66666666666667,24
2002,"low",1.5,18
2003,"high",1.60869565217391,23
2003,"low",1.23076923076923,13
2004,"high",1.5,18
2004,"low",1.57894736842105,19
2005,"high",1.63636363636364,22
2005,"low",1.38888888888889,18
2006,"high",1.42307692307692,26
2006,"low",1.44,25
2007,"high",1.57692307692308,26
2007,"low",1.52380952380952,21
2008,"high",1.38888888888889,18
2008,"low",1.56,25
2009,"high",1.36363636363636,33
2009,"low",1.5,20
2010,"high",1.55555555555556,36
2010,"low",1.51612903225806,31
2011,"high",1.58823529411765,34
2011,"low",1.72727272727273,22
2012,"high",1.66666666666667,24
2012,"low",1.72413793103448,29
2013,"high",1.59090909090909,22
2013,"low",1.51851851851852,27
2014,"high",1.37037037037037,27
2014,"low",1.55882352941176,34
2015,"high",1.31707317073171,41
2015,"low",1.32142857142857,28
2016,"high",1.5625,32
2016,"low",1.58333333333333,24
2017,"high",1.625,32
2017,"low",1.66666666666667,24
2018,"high",1.48148148148148,27
2018,"low",1.60869565217391,23
2019,"high",1.6,25
2019,"low",1.66666666666667,21
2020,"high",1,6
2020,"low",1,4
